animeID,title,alternative_title,type,year,score,episodes,mal_url,sequel,image_url,genres,genres_detailed
1,Howl's Moving Castle,Howl no Ugoku Shiro,MOVIE,2004,8.41,1,https://myanimelist.net/anime/431,False,https://cdn.myanimelist.net/images/anime/1470/138723.jpg,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']","['action', 'adventure', 'age gap', 'air force', 'anti-war', 'aristocracy', 'aviation', 'award winning', 'based on a novel', 'boy meets girl', 'cgi', 'comedy', 'coming of age', 'coming-of-age', 'curse', 'curses', 'demon', 'demons', 'detailed landscapes', 'disability', 'disaster', 'drama', 'elderly protagonist', 'ending', 'european stylised', 'fairy tale', 'family friendly', 'fantasy', 'fantasy world', 'female protagonist', 'fictional location', 'folklore', 'found family', 'gaslamp fantasy', 'happy ending', 'heart-warming', 'heterosexual', 'historical', 'industrialisation', 'japanese production', 'lifestyle change', 'magic', 'magical creatures', 'maids', 'military', 'mina', 'monster boy', 'mythology', 'novel', 'philosophy', 'place', 'politics', 'remastered version available', 'romance', 'royalty', 'rural', 'sci-fi', 'shapeshifting', 'sorcery', 'speculative fiction', 'spider tank', 'stand-alone movie', 'steampunk', 'strong female lead', 'teleportation', 'the power of love', 'time manipulation', 'transformations', 'travel', 'war', 'witch', 'witches', 'wizards']"
2,Death Note,,TV,2006,8.63,37,https://myanimelist.net/anime/1535,False,https://cdn.myanimelist.net/images/anime/1079/138100.jpg,"['Supernatural', 'Suspense']","['achronological order', 'acting', 'adapted into japanese movie', 'adapted into jdrama', 'adapted into other media', 'adults are useless', 'alternative present', 'americas', 'amnesia', 'anti-hero', 'antihero', 'asexual', 'asia', 'assassins', 'based on a manga', 'battle of wits', 'bishounen', 'canon filler', 'contemporary fantasy', 'contractor', 'cops', 'crime', 'crime fiction', 'criminals', 'death', 'detective', 'detectives', 'drama', 'earth', 'espionage', 'everybody dies', 'fantasy', ""following one's dream"", 'fugitive', 'genius', 'gods', 'grail in the garbage', 'hero of strong character', 'horror', 'insane', 'japan', 'japanese production', 'journalism', 'just as planned', 'justice', 'kamis', 'kuudere', 'law and order', 'magic book', 'male protagonist', 'manga', 'memory manipulation', 'mind games', 'mundane made awesome', 'murder', 'mystery', 'overpowered main characters', 'philosophy', 'place', 'plot continuity', 'police', 'police are useless', 'policeman', 'predominantly adult cast', 'present', 'primarily adult cast', 'primarily male cast', 'psychological', 'psychological drama', 'psychopaths', 'real-world location', 'rivalries', 'rivalry', 'romance', 'school life', 'secret identity', 'serial killer', 'serial killers', 'shinigami', 'shounen', 'speculative fiction', 'suicide', 'supernatural', 'supernatural drama', 'supernatural thriller', 'suspense', 'tennis', 'thriller', 'time', 'time skip', 'tropes', 'twisted story', 'united states', 'university', 'unrequited love', 'unusual weapons -- to be split and deleted', 'urban', 'urban fantasy', 'vigilantes', 'weekly shounen jump', 'world domination', 'yandere']"
3,"Problem Children Are Coming from Another World, Aren't They?",Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,TV,2013,7.42,10,https://myanimelist.net/anime/15315,False,https://cdn.myanimelist.net/images/anime/12/43369.jpg,"['Action', 'Comedy', 'Fantasy']","['action', 'alternative world', 'anthropomorphism', 'based on a light novel', 'battle royale', 'censored uncensored version', 'comedy', 'conspiracy', 'delinquents', 'demon', 'demons', 'detective', 'ecchi', 'fairy', 'fairy tale', 'fanservice', 'fantasy', 'fantasy world', 'fictional location', 'folklore', 'friendship', 'gainax bounce', 'gambling', 'genius', 'gods', 'harem', 'hero of strong character', 'heroine of strong character', 'high stakes games', 'isekai', 'japanese production', 'juujin', 'kemonomimi', 'large breasts', 'magic', 'magical girl', 'maid', 'maids', 'male protagonist', 'monster', 'mundane made awesome', 'mythology', 'nearly almighty protagonist', 'novel', 'overpowered main characters', 'parallel world', 'person in a strange world', 'place', 'psi-powers', 'pvp', 'speculative fiction', 'strong female lead', 'strong male lead', 'summoned into another world', 'super deformed', 'super power', 'supernatural', 'superpowers', 'tropes', 'undead', 'vampire', 'verbal comedy']"
4,BTOOOM!,Btooom!,TV,2012,7.34,12,https://myanimelist.net/anime/14345,False,https://cdn.myanimelist.net/images/anime/4/40977.jpg,"['Action', 'Sci-Fi', 'Suspense']","['achronological order', 'action', 'adventure', 'age gap', 'amnesia', 'androphobia', 'based on a manga', 'battle of wits', 'battle royale', 'betrayal', 'bionic powers', 'blackmail', 'combat', 'comedy', 'contemporary fantasy', 'crime', 'death', 'death game', 'drama', 'drastic change of life', 'earth', 'ecchi', 'ending', 'explicit violence', 'fanservice', 'fantasy', 'forest', 'gainax bounce', 'gore', 'high stakes game', 'high stakes games', 'high-stakes game', 'hikikomori', 'horror', 'island', 'japanese production', 'jungle', 'male protagonist', 'manga', 'martial arts', 'mature themes', 'murder', 'mystery', 'neet', 'nudity', 'online gaming', 'open-ended', 'physical abuse', 'place', 'play or die', 'plot continuity', 'predominantly adult cast', 'present', 'psi-powers', 'psychological', 'psychological drama', 'pvp', 'rape', 'remastered version available', 'romance', 'sci-fi', 'science fiction', 'science-fiction', 'seinen', 'sex', 'sexual abuse', 'sexual abuse -- to be split and deleted', 'sexual content', 'speculative fiction', 'sports', 'struggle to survive', 'suicide', 'survival', 'survival game', 'suspense', 'there can be only one', 'thriller', 'time', 'tragedy', 'tropes', 'tv censoring', 'video games', 'violence', 'xenophobia']"
5,Sword Art Online,,TV,2012,7.5,25,https://myanimelist.net/anime/11757,False,https://cdn.myanimelist.net/images/anime/11/39717.jpg,"['Action', 'Adventure', 'Fantasy', 'Romance']","['action', 'action drama', 'adventure', 'alternative world', 'amnesia', 'angst', 'artificial intelligence', 'asia', 'awards', 'based on a light novel', 'calling your attacks', 'comedy', 'contemporary fantasy', 'damsel in distress', 'death game', 'deus ex machina', 'drama', 'dungeon', 'earth', 'ecchi', 'elf', 'fairy', 'fan service', 'fantasy', 'female harem', 'fictional location', 'fighting', 'fishing', 'floating island', 'found family', 'friendship', 'future', 'game', 'game elements', 'gaming – video games', 'groping', 'harem', 'hero of strong character', 'heterosexual', 'high fantasy', 'high stakes games', 'inseki', 'isekai', 'japan', 'japanese production', 'long time span', 'love polygon', 'magic', 'male protagonist', 'mature themes', 'medieval', 'mmorpg', 'monster', 'mutilation', 'mythology', 'nearly almighty protagonist', 'newtype anime award', 'norse mythology', 'novel', 'overpowered main characters', 'physical abuse', 'place', 'present', 'primarily female cast', 'primarily male cast', 'primarily teen cast', 'prison', 'pve', 'pvp', 'rape', 'rescue', 'romance', 'sci fi', 'sci-fi', 'science fiction', 'science-fiction', 'seinen', 'sexual abuse', 'slapstick', 'speculative fiction', 'sports', 'storytelling', 'strong female lead', 'strong male lead', 'struggle to survive', 'suicide', 'survival', 'survival game', 'swordplay', 'swords & co', 'talking is a free action', 'teamwork', 'tentacle', 'thriller', 'time', 'time skip', 'tragedy', 'trapped in a video game', 'travel', 'tsundere', 'unrequited love', 'video game', 'video games', 'violence', 'violent retribution for accidental infringement', 'virtual reality', 'virtual world', 'yggdrasil']"
6,Spirited Away,Sen to Chihiro no Kamikakushi,MOVIE,2001,8.64,1,https://myanimelist.net/anime/199,False,https://cdn.myanimelist.net/images/anime/6/79597.jpg,"['Adventure', 'Award Winning', 'Fantasy']","['adventure', 'alternative world', 'anthropomorphism', 'antropomorphs', 'asia', 'award winning', 'be careful what you wish for', 'child protagonists', 'comedy', 'coming of age', 'contemporary fantasy', 'curse', 'curses', 'demi-humans', 'demon', 'dragon', 'dragons', 'drama', 'earth', 'environmentalism', 'fairy tale', 'family friendly', 'fantasy', 'fantasy world', 'female protagonist', 'fictional location', 'folklore', 'ghost stories', 'gods', 'isekai', 'japan', 'japanese mythology', 'japanese production', 'kamis', 'magic', 'magical creatures', 'memory manipulation', 'mina', 'mythology', 'new', 'original work', 'parallel universe', 'parallel world', 'person in a strange world', 'place', 'present', 'primarily child cast', 'romance', 'shapeshifting', 'speculative fiction', 'spirits', 'stand-alone movie', 'strong female lead', 'supernatural', 'time', 'trains', 'transformations', 'travel', 'twins', 'urban fantasy', 'violence', 'witch', 'work', 'youkai']"
7,Princess Mononoke,Mononoke Hime,MOVIE,1997,8.59,1,https://myanimelist.net/anime/164,False,https://cdn.myanimelist.net/images/anime/1355/147277.jpg,"['Action', 'Adventure', 'Award Winning', 'Fantasy']","['action', 'adventure', 'against destiny', 'angst', 'animals', 'animism', 'anthropomorphism', 'anthropomorphs', 'anti-war', 'archery', 'asia', 'award winning', 'body horror', 'comedy', 'coming of age', 'curse', 'curses', 'deforestation', 'deity', 'demon', 'demons', 'disability', 'disaster', 'drama', 'earth', 'eco-horror', 'environmental', 'environmentalism', 'epic', 'fairy tale', 'fantasy', 'fate', 'female protagonist', 'feudal japan', 'feudal warfare', 'folklore', 'forest', 'forest spirit', 'forests', 'gods', 'gore', 'guns', 'hero of strong character', 'heroine of strong character', 'historical', 'horror', 'indigenous cultures', 'japan', 'japanese mythology', 'japanese production', 'kaiju', 'kamis', 'magic', 'magical creatures', 'male protagonist', 'man vs nature', 'martial arts', 'military', 'mina', 'muromachi era', 'muromachi period', 'mythology', 'new', 'old asia', 'original work', 'outdoor activities', 'past', 'philosophy', 'place', 'primarily adult cast', 'revenge', 'romance', 'royalty', 'rural', 'samurai', 'shintoism', 'slavery', 'speculative fiction', 'spirits', 'splatter', 'stand-alone movie', 'strong female lead', 'strong male lead', 'struggle to survive', 'super power', 'swordplay', 'swords & co', 'time', 'tomboy', 'tragedy', 'travel', 'tsundere', 'urban fantasy', 'violence', 'war', 'wilderness', 'wolves', 'youkai']"
8,Magi: The Labyrinth of Magic,,TV,2012,8,25,https://myanimelist.net/anime/14513,False,https://cdn.myanimelist.net/images/anime/11/42773.jpg,"['Action', 'Adventure', 'Fantasy']","['action', 'adventure', 'against destiny', 'alternative world', 'angst', 'asia', 'barefoot', 'based on a manga', 'belly dance', 'betrayal', 'brainwashing', 'calling your attacks', 'comedy', 'coming of age', 'conspiracy', 'corrupt nobility', ""coup d'etat"", 'crime', 'curse', 'dancing', 'desert', 'disaster', 'drama', 'dungeon', 'dungeons', 'earth', 'ecchi', 'economics', 'emotions awaken superpowers', 'ensemble cast', 'epic fantasy', 'fall of a country', 'famine', 'fanservice', 'fantasy', 'fantasy world', 'fate', 'fictional location', 'fighting', 'fire', 'flat chest jokes', ""following one's dream"", 'foreign', 'friendship', 'genies', 'grandiose displays of wealth', 'hero of strong character', 'historical', 'japanese production', 'kidnapping', 'kingdom management', 'liberation of slaves', 'magic', 'magic weapons', 'magical boy', 'magicians', 'male protagonist', 'manga', 'martial arts', 'master-servant relationship', 'master-slave relation', 'middle eastern', 'money', 'monster', 'monsters', 'nudity', 'one thousand and one nights', 'performance', 'place', 'plot continuity', 'political', 'politics', 'poverty', 'primarily male cast', 'rebellion', 'royal affairs', 'royalty', 'saving the world', 'science and magic coexist', 'secret organisation', 'sexual humour', 'shounen', 'slapstick', 'slavery', 'social class issues', 'social commentary', 'speculative fiction', 'spellcasting', 'stoic heroine', 'strong female lead', 'strong male lead', 'summoning', 'super deformed', 'super power', 'swordplay', 'swords & co', 'tales', 'tanned skin', 'teamwork', 'the arts', 'the chosen one!', 'tragedy', 'travel', 'treasure hunting', 'tropes', 'verbal comedy', 'violence', 'war', 'wardrobe malfunction']"
9,Accel World,,TV,2012,7.31,24,https://myanimelist.net/anime/11759,False,https://cdn.myanimelist.net/images/anime/1002/135430.jpg,"['Action', 'Romance', 'Sci-Fi']","['action', 'alternative world', 'antihero', 'augmented reality', 'based on a light novel', 'boy meets girl', 'bullet time', 'bullying', 'calling your attacks', 'comedy', 'competition', 'confession', 'drama', 'drastic change of life', 'ecchi', 'fantasy world', 'female protagonist', 'fictional location', 'fighting', 'friendship', 'future', 'game', 'gaming – video games', 'ganbatte', 'growing up', 'harem', 'henshin', 'hero of weak character', 'heterosexual', 'insecure', 'isekai', 'itano circus', 'japanese production', 'kuudere', 'love triangle', 'male protagonist', 'martial arts', 'master-servant relationship', 'middle school', 'monster of the week', 'motorcycles', 'mundane made awesome', 'netorare', 'novel', 'online computer gaming', 'philosophy', 'place', 'preaired episodes', 'predominantly female cast', 'primarily teen cast', 'psi-powers', 'psychological', 'psychological drama', 'pvp', 'rivalry', 'romance', 'school', 'school excursion', 'school life', 'sci fi', 'sci-fi', 'science fiction', 'science-fiction', 'seinen', 'shounen', 'speculative fiction', 'super deformed', 'swords & co', 'technology', 'time', 'time manipulation', 'tokusatsu', 'tournament', 'tropes', 'tv censoring', 'video game', 'video games', 'virtual reality', 'virtual world']"
10,Eden of The East,Higashi no Eden,TV,2009,7.81,11,https://myanimelist.net/anime/5630,False,https://cdn.myanimelist.net/images/anime/9/15033.jpg,"['Award Winning', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense']","['action', 'adult cast', 'adventure', 'alternative present', 'americas', 'amnesia', 'artificial intelligence', 'asia', 'award winning', 'battle royale', 'boy meets girl', 'college', 'comedy', 'conspiracy', 'crime', 'death game', 'detective', 'drama', 'earth', 'ecchi', 'foreign', 'future', 'heterosexual', 'high stakes games', 'hikikomori', 'japan', 'japanese production', 'josei', 'just as planned', 'love triangle', 'male protagonist', 'megalomaniac', 'memory manipulation', 'middle east', 'multi-anime projects', 'mystery', 'neet', 'new', 'noitamina', 'nudity', 'original work', 'place', 'plot continuity', 'police', 'politics', 'present', 'primarily adult cast', 'psychological', 'real-world location', 'remastered version available', 'romance', 'sci-fi', 'science fiction', 'science-fiction', 'scooter', 'secret organisation', 'sex', 'social media', 'social-networking', 'society', 'software development', 'speculative fiction', 'sudden naked guy appearance', 'suspense', 'terrorism', 'there can be only one', 'thriller', 'time', 'tropes', 'united states', 'urban', 'violence']"
