animeID,title,mean_api,num_episodes_api,genres_api,synopsis_api
16189,World's Best Martial Artist,7.09,16.0,"Action, Fantasy, Martial Arts","The 28-year-old Fang Ping was accidentally reborn in a parallel world in 2008, returning to his 18-year-old high school self. This is a world composed of a warrior system, where warriors have extremely high social status and rights. Due to the coincidence of fate with Emperor Zhan Tian in his previous life, a martial arts system was generated in Fang Ping's body after his rebirth. He can convert rare props of any value into martial arts value by touching them, and improve a series of abilities such as bones, tendons, flesh, blood, and mental strength at a speed beyond ordinary people. Through the system's golden finger and his own mind, Fang Ping successfully entered Modu Wuke University for further studies, and in the years to come, he continued to complete his self-growth. Faced with unknown difficulties, he gradually realized the responsibilities that warriors need to bear and the mission of protecting family, friendship, and love.

(Source: Tencent, Google translated)"
16190,1 Second,6.94,8.0,"Action, Ecchi, Fantasy, Harem, School, Urban Fantasy, Vampire","The second season of Strike the Blood which adapts three arcs from the 9th, 11th, and 12th light novel volumes. "
16191,IDOLiSH7 4th Season,,0.0,"Drama, Idols (Male), Music",Fourth season of IDOLiSH7.
16192,Reincarnation no Kaben,6.53,12.0,"Action, Sci-Fi","In 2035, an incident known as “The Burst” occurs at a Japanese research facility,  giving birth to the rapidly expanding, consuming, and self-replicating ""Matter."" Snaking its way through the remains of dams and military facilities in the Kurobe Gorge, the hostile Matter is besieged by task forces trying to prevent it from reaching the ocean and mercenaries seeking the truth behind its existence.

Aiko Tachibana lives under constant medical surveillance after being rescued from the Matter. She spends her days waiting out her recovery by making paper planes. Soon, her daily life at school is disturbed by the arrival of transfer student Yuuya Kanzaki, who proceeds to point out a number of inconsistencies regarding her body. Why is she never injured, and why does she suddenly no longer need her wheelchair? He claims that there is more to her existence than she has been led to believe, and that she alone holds the key to ending The Burst.

With many factions now interested in Aiko, she and Yuuya must gather allies and embark on a dangerous pilgrimage into the heart of the infested gorge before the net can close around them. To escape the conspiracy moving against them, the pair must face off against the Matter—an enemy that flows like water.

[Written by MAL Rewrite]
"
16194,Norman the Snowman: The Northern Lights,6.41,1.0,"Adventure, Fantasy, Kids","As the first snow falls on a town in the northern country, a boy sneaks out of his house to board a northbound train with his friend “Norman the Snowman.” They are off to witness the beautiful wonders of nature that Norman had always talked about.

(Source: JFF Plus)"
16195,The Brave-Tuber,,12.0,"Comedy, Fantasy, Shounen","For the most part, Wisdaregidor is your typical fantasy world: monsters wreaking havoc, taverns packed with gung-ho adventurers, and a demon overlord looking to rule it all. But Wisdaregidor has one thing you'll never find in Middle-earth: the Internet! Zane and Kuku are two adventurers trying to build a fanbase. The pair will do whatever it takes to get more subscribers for their streamed videos, even if it means taking on the demon lord himself!

(Source: Seven Seas Entertainment)"
16196,Kerokero Keroppi no Mitsubachi Daisoudou,,1.0,"Fantasy, Kids",
16198,Chun Tae-il,,1.0,"Drama, Slice of Life","Chun Taeil was an assistant who once bought bread for hungry girls working in factories; a tailor who could not turn a blind eye to the poor working conditions in Pyeonghwa Market; and a worker who had no choice but to shout to defend the Labor Standards Act. 

Instead of honoring Chun Taeil as a patriotic martyr, Chun Tae-il deals with his personality and destiny. It depicts the eldest son, who had to be the pillar of a poor family, and a worker who had no choice but to set fire to the labor movement by collaborating with his colleagues, who did not even know how to protest. At the same time, the film depicts the scenery and characters of the more lyrical time in which Chun Taeil lived. 

Chun Tae-il is a detailed portrait of the people who wanted to live like human beings in impossible times presented as a painful and beautiful animated film. The voice actors include actors Jang Dongyoon as Chun; Yeom Hyeran as Chun′s mother, Lee Sosun; and Jin Seonkyu; Park Chulmin; and Kwon Haehyo. (HONG Eunmi)

(Source: Busan International Film Festival)"
16199,"Manga Cinema dedicated to Sadao Yamanaka ""Nezumikozo Jirokichi""",,1.0,Historical,"As the 808 towns of Edo are enveloped in the darkness of night, someone rustling in the attic appears. 

Nezumi Kozo Jirokichi is a noble thief who takes wealth from the wealthy and distributes it among the poor. Osuzu is a townswoman who has lost her husband and is living a difficult life with her young child. Bonji Yasugoro and Chogoro try to use Osuzu to uncover Nezumi Kozo's true identity. Okahiki Kanemon is renowned for hating the sin but not the sinner. 

Sadao Yamanaka, the film director, has a dream of a melancholic human drama set in the streets of Edo...

(Source: Official Website, translated)"
16200,Sugar Bunnies Fleur Specials,,2.0,Kids,The 7th DVD of Sugar Bunnies Fleur! contained the unaired episode 27 finale and an unaired recap episode.
16201,Toumei Otoko to Ningen Onna: Sonouchi Fuufu ni Naru Futari,,0.0,"Adult Cast, Fantasy, Romance, Urban Fantasy, Workplace","Yakou, a gentle human woman, works at a detective agency. Tounome is a smart and gentle invisible man. The invisible man's ability is perfect for detective work. However, the blind Yakou can still figure out where Tounome is, even if he disappears. Before they know it, the two become attracted to each other...?

(Source: Seven Seas Entertainment)"
16202,Uchuujin MuuMuu,6.87,24.0,"Comedy, Educational, Sci-Fi, Seinen","A cat-like alien from a distant galaxy, MuuMuu, arrives on Earth. His goal is to learn about home appliance technology on Earth to recover the technology his species has lost. The protagonist, Sakurako, has a typical university life, but everything changes with MuuMuu's arrival! What begins as an unexpected cohabitation quickly turns into a whirlwind of chaotic events. The chemistry between Sakurako and MuuMuu leads to a super-spectacular, appliance-filled, and cat comedy adventure. 

(Source: Pony Canyon)"
16204,Secrets of the Silent Witch,8.13,13.0,"Fantasy, School","In the Kingdom of Ridill lives a genius magician known to be the first person to ever use chantless magic. With this amazing skill, Monica Everett joins the Seven Sages as a hero who can defeat powerful dragons, such as the legendary black dragon, all on her own. However, the truth is that the Silent Witch developed chantless magic due to being too shy—preferring to live on a mountain top, far from society.

Her secluded lifestyle changes, though, when a fellow sage tasks her to covertly defend the second prince, Felix Arc Ridill, from attempts on his life. Unfortunately, that means she will have to go undercover as a student at Serendia Academy. Between guard duty and her social anxiety, Monica is facing her most difficult mission to date.

[Written by MAL Rewrite]"
16205,Gnosia,7.27,0.0,"Sci-Fi, Space, Survival, Suspense, Time Travel","Saddled with amnesia, Yuuri awakens on an interstellar cruiser drifting through space. Unfortunately, a lack of memories is the least of Yuuri's problems. Among the four other crew members is a Gnosia: a Gnos infectee whose goal is the eradication of humanity. The Gnosia appears human in all other respects, so the uninfected have little choice but to vote on whom they suspect to be the enemy, hoping to neutralize the Gnosia by putting them into cold sleep. If the Gnosia survives the vote, they will eliminate one crew member during the cruiser's following warp, when only the Gnosia remains conscious.

Voting quickly proves to be an unreliable strategy, and Yuuri is left one-on-one with the Gnosia. Just when all hope seems lost, time seemingly loops back to when Yuuri first awakened. With each time loop, however, conditions aboard the ship change—neither the size of the crew nor the members' identities remain constant. Trapped in both time and space, Yuuri must figure out how to escape the loops and save humanity from the Gnosia.

[Written by MAL Rewrite]"
16206,Clevatess,7.85,12.0,"Action, Fantasy","Surrounded by four armies of dark beasts, five humanoid races strive to push the known boundaries of the world. Unfortunately, the 13 heroes dispatched to the southern region are easily wiped out by Clevatess, one of the Lords of Dark Beasts. Determined to get revenge against humanity, Clevatess bursts into the capital of the Kingdom of Hiden, leaving a trail of death and destruction behind him.

Although the situation looks desperate, humanity still has a chance to appease Clevatess' anger. Alicia Glenfall, one of the 13 heroes, is revived by Clevatess to help him raise a newborn infant, Luna, whose choices shall shape the fate of the human world. Although reluctant to help the dark beast at first, Alicia understands that Luna is the only thing that stands between humanity and complete annihilation. 

Hiding himself by taking on a human form, Clevatess sets out in search for a wet nurse with Alicia and Luna. With Clevatess unwilling to reveal his identity, it falls on Alicia to slay all enemies that stand in their way. Meanwhile, the neighboring countries prepare to advance on the weakened Hiden, aiming to control the only forge capable of producing the heroes' weapons.

[Written by MAL Rewrite]"
16207,Dekin no Mogura,6.93,12.0,"Comedy, Mystery, Seinen, Supernatural","When university students Kuriaki Magi and Yaeko Kirihara witness a man receive a fatal blow to the head, they can barely believe it when he flees the scene unscathed. Once they catch up to the victim, Momoyuki Mogura, they learn that he is immortal.

While Magi and Yaeko initially presume Mogura is delusional, their opinion of him changes as they begin seeing apparitions. As Mogura explains, those are spirits of dead people that produce demon fire, a light that guides the spirits after death. Stripped of the right to carry the fire, Mogura has spent years collecting the products from spirits, hoping to one day enter the afterlife. With Magi and Yaeko now helping him find more spirits, the mysterious Mogura may finally achieve his peculiar dream.

[Written by MAL Rewrite]"
16208,Miru: Paths to My Future,5.29,5.0,Sci-Fi,"In the distant future, humans create a robot named MIRU capable of traveling through time, visiting various eras, places, and even parallel worlds. Unlike some robots, MIRU isn't equipped with weapons. Instead, it helps people overcome immense obstacles peacefully, encouraging new beginnings without violence.

MIRU continuously evolves by interacting with people, learning and growing to assist those struggling to survive. It listens to their problems and offers support. By helping others, MIRU sets off a ""Butterfly Effect,"" of dramatic change guiding society toward a brighter future.

Why was MIRU created? What is its purpose? Can it save the Earth and humanity from a dystopian future?

(Source: MAL News)"
16209,Mononoke Movie: Dai Ni Shou - Hinezumi,8.67,1.0,"Action, Adventure, Award Winning, Fantasy","When an Emishi village is attacked by a fierce demon boar, the young prince Ashitaka puts his life at stake to defend his tribe. With its dying breath, the beast curses the prince's arm, granting him demonic powers while gradually siphoning his life away. Instructed by the village elders to travel westward for a cure, Ashitaka arrives at Tatara, the Iron Town, where he finds himself embroiled in a fierce conflict: Lady Eboshi of Tatara, promoting constant deforestation, stands against Princess San and the sacred spirits of the forest, who are furious at the destruction brought by the humans. As the opposing forces of nature and mankind begin to clash in a desperate struggle for survival, Ashitaka attempts to seek harmony between the two, all the while battling the latent demon inside of him. Princess Mononoke is a tale depicting the connection of technology and nature, while showing the path to harmony that could be achieved by mutual acceptance.

[Written by MAL Rewrite]"
16210,Hello Kitty in The Circus Comes to Town,5.71,1.0,"Fantasy, Kids","Kitty and company are super excited for the circus that has come to town, but it might close down leaving everyone jobless and abandoned. It's up to them to get enough people to attend so it can make a profit."
16213,Seihantai na Kimi to Boku,,0.0,"Comedy, Romance, School, Shounen","Next to Miyu Suzuki, a trendy and bubbly high school girl, sits Yuusuke Tani, a quiet and frank boy. Their interactions are brief, limited to Suzuki's unprompted random questions and Tani's succinct answers. Yet, beneath these simple exchanges, feelings of love are quietly blossoming.

Suzuki sees Tani for who he is: a straightforward boy who respects everyone equally, completely unconcerned about fitting in. Unlike Tani, she is too hung up on what everyone else thinks, desperate to keep her crush a secret. However, a slight misunderstanding leads to Suzuki confessing her feelings—and to her delight, Tani feels the same. Jittery with excitement, the young couple starts dating, embarking on a wonderful journey of friendship and love.

[Written by MAL Rewrite]"
16214,Milky Panic: Twelve,,1.0,,Part of Anime Tamago 2018. 
16215,Leviathan,6.27,13.0,"Comedy, Fantasy","The story is set in Aquafall, a fantasy world abound with water and greenery, and populated by dragons and fairies. Meteorites suddenly bring forth evil creatures that threaten all living things on the planet. The fairy Syrup assembles the Aquafall Defense Force, with three girls of the dragon clans as recruits. The story follows Syrup and the dragon girls Leviathan, Bahamut, and Jörmungandr as they work together to battle enemies and grow up.

(Source: ANN)"
16216,The Snow Country Prince,5.71,1.0,Slice of Life,"Koichi and his sister Yuki befriend Hanaguro, a swan who has flown to Japan from Siberia. Hanaguro is attacked by a dog, and the cowardly Koichi flees, but that night he has a dream in which he is whisked away to the Kingdom of Snow Prince, where he finds the bravery to help the other swans.

(Source: The Anime Encyclopedia)"
16217,Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu Movie,5.97,1.0,"Adventure, Detective, Mecha, Sci-Fi","One day, the Mobile Rescue Police is attacked by the mysterious boy, Terra. His identity was an android the Evil AI was operating. Because of Terra's powerful energy, Gou and the others are unable to drive the Drive Heads. Furthermore, the earth is in a big pinch when Terra becomes giant and swallows up his surroundings. In this unprecedented emergency situation, Team Drive Head must once again launch. Will Gou and the others be able to protect what's important? 

(Source: Tomica Wiki)"
16218,Canimals,,26.0,"Comedy, Kids",
16219,Takate,,0.0,"Action, Adventure, Historical, Martial Arts","When his master dies, Gang Yong pledges to avenge his teacher at all costs. After training his martial arts skills in seclusion, Gang Yong sets off to hunt down the traitors and make them pay! But when he gets to town, he discovers they're... already dead? Well, what's he supposed to do now?!

(Source: Webtoon Entertainment)"
16220,Baki-dou,,0.0,"Action, Gore, Martial Arts, Shounen","Growing complacent with his title of ""World's Strongest Boy,"" Baki Hanma spends his days in a haze of boredom. After finally settling the feud with his demonic father Yuujirou, Baki defends his title in the Kourakuen Underground Arena while stifling yawns brought about by the ease with which he defeats his challengers. Baki's friends and mentors also struggle with this new peaceful stasis, completing great feats of strength training with little enthusiasm.

Soon, Japan is shaken by the reveal of a long-gestating science experiment that results in the successful cloning of legendary samurai Musashi Miyamoto. The famed warrior relishes in testing his strength against Baki and the other fighting icons of Tokyo, but he struggles to assimilate with the modern era. Miyamoto clings to his ancient ideals of honor and dueling to the death, a philosophy that clashes with the more tranquil present.

As the resurrected swordsman attempts to rise to the top of this unfamiliar society by cutting through Baki's friends, he finds himself on a collision course with the vengeful teenager. Baki embraces this rush of excitement and meets his new rival head-on.

[Written by MAL Rewrite]"
16221,Choubakumatsu Shounen Seiki Takamaru,5.8,2.0,"Action, Comedy, Fantasy",
16222,Shin Choubakumatsu Shounen Seiki Takamaru,,6.0,"Action, Comedy, Fantasy",
16223,Kaibutsu-kun: Demon no Ken,5.81,1.0,"Comedy, Horror, Kids, Shounen","Based on the shounen manga by Fujiko Fujio.

Note: Screened as a triple feature with Doraemon: Nobita no Daimakyou and Ninja Hattori-kun: Nin Nin Ninpo Enikki no Maki.

(Source: AniDB)"
16224,Introduction to Mineralogy,8.0,13.0,"CGDCT, Educational, Seinen, Slice of Life","While shopping, high school student Ruri Tanigawa is captivated by a crystal necklace. Due to its high price, she can only dream of owning one—until her mother tells her about a mountainous area where Ruri's grandfather used to discover numerous minerals. As she makes her way to the location in the hope of finding materials to make her own accessories, Ruri meets Nagi Arato, a graduate student, who gladly shows her the way.

Soon, Ruri is left smitten when they arrive at an enormous quartz formation. More motivated than ever, she convinces Nagi to teach her more about mineralogy. With each new discovery and Nagi's lessons deepening her love, Ruri learns that there is more to minerals than just their price.

[Written by MAL Rewrite]"
