text,Action,Adult Cast,Adventure,Anthropomorphic,Avant Garde,Award Winning,Boys Love,CGDCT,Childcare,Combat Sports,Comedy,Crossdressing,Delinquents,Detective,Drama,Ecchi,Educational,Fantasy,Gag Humor,Girls Love,Gore,Gourmet,Harem,High Stakes Game,Historical,Horror,Idols (Female),Idols (Male),Isekai,Iyashikei,Josei,Kids,Love Polygon,Love Status Quo,Magical Sex Shift,Mahou Shoujo,Martial Arts,Mecha,Medical,Military,Music,Mystery,Mythology,Organized Crime,Otaku Culture,Parody,Performing Arts,Pets,Psychological,Racing,Reincarnation,Reverse Harem,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shounen,Showbiz,Slice of Life,Space,Sports,Strategy Game,Super Power,Supernatural,Survival,Suspense,Team Sports,Time Travel,Urban Fantasy,Vampire,Video Game,Visual Arts,Workplace
"shun satou was once a promising soccer player, but an injury shattered his dreams. now a high school freshman, he drifts through his days without direction until he meets naoki satou, a girl whose catchphrase is ""i just want to go home."" nicknamed ""chokki-chan,"" she's the eccentric leader of the so-called ""hyper going-home club,"" a group that doesn't officially exist but somehow ropes shun into its mysterious activities. though he never intended to join, he soon finds himself caught up in naoki's unpredictable antics. as he spends more time with her, shun begins to realize that his once-gray world is slowly regaining color. a lighthearted and heartfelt after-school rom-com about a girl who loves taking detours and a boy learning to move forward again.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""during the blood-soaked feudal wars of japan, the awa clan faced certain extinction from a rival clan backed by demonic forces. their clan's salvation becomes a curse when the family dog brings back the head of the enemy warlord but insists upon marrying the lord's daughter! this unnatural union bears fruit, but they are killed; and their eight unborn pups reincarnate as the eight dog warriors - the hakkenden. the eight reincarnated souls travel their separate paths of violence and retribution, but slowly they come together as a formidable group representing the eight virtues of the bushido to slay the demons and redeem their clan!""",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the animated short film that inspired the artist s first pc and mobile game. like its predecessors, the film shows distinctively satisfying timing and motions. a boy does sit-ups with a dog standing over him. another dog runs across a boy s back as he bends forward. the boy and the dog run out of breath, and so on really. the plain yellow background accentuates the characters comical movements.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"graduate work 2017 from chinami taniguchi, tokyo university of the arts, graduate school of film and new media, department of animation. the story of nosferatu vampires glimpsed by a boy who gets lost in a forest.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"when kazuma satou died, he was given two choices: pass on to heaven or be revived in a fantasy world. after choosing the new world, the goddess aqua tasked him with defeating the demon king, and let him choose any weapon to aid him. unfortunately, kazuma chose to bring aqua herself and has regretted the decision ever since then. not only is he stuck with a useless deity turned party archpriest, the pair also has to make enough money for living expenses. to add to their problems, their group continued to grow as more problematic adventurers joined their ranks. their token spellcaster, megumin, is an explosion magic specialist who can only cast one spell once per day and refuses to learn anything else. there is also their stalwart crusader, lalatina ford ""darkness"" dustiness, a helpless masochist who makes kazuma look pure in comparison. kono subarashii sekai ni shukufuku wo! 2 continues to follow kazuma and the rest of his party through countless more adventures as they struggle to earn money and have to deal with one another's problematic personalities. however, things rarely go as planned, and they are often sidetracked by their own idiotic tendencies.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"in postwar tokyo, while his mum works, taichi spends his days alone and misses his dad who was killed in the war. through his friendship with an old man who tends a seemingly dead cherry tree, taichi learns about the tree and gradually becomes more positive.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"in the vast universe, the process of human beings and all things in the world to die is as short and gorgeous as a dayfly. the ""dayfly"" with only one day's life and the time of the day are used as clues. the time starts at 0:00 and ends at 24:00 the next day, interspersed with three short stories.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the babylon project is a massive renovation of tokyo's neighborhoods, including the creation of artificial islands in the bay. utilizing ""labors,"" or robots created for the express purpose of doing work, architects and construction crews are able to more efficiently progress development of the overhaul. when a key figure in the project's conception is found dead after committing suicide under mysterious circumstances, captain kiichi gotou's patlabor police unit is tasked with getting to the bottom of the bizarre situation. as several labors begin to go haywire and a hacked ai program endangers the people of tokyo, young pilot noa izumi and her patlabor alphonse work under gotou's orders to save the city and the entire nation from a massive biblical conspiracy.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91 daze is a series of shorts included in various disk packages. they focus around angelo, nero, and sometimes corteo in various comedic situations.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the ordinary life of 17-year-old otaku hajime nagumo is disrupted when he and his classmates are summoned to a fantasy world and tasked with saving mankind. while his classmates are gifted with impressive abilities useful in combat, hajime is belittled for only gaining an inferior transmutation skill that lacks any real offensive power. during an expedition in the great orcus labyrinth, hajime is betrayed by one of his classmates, plummeting him to the bottom of an abyss. though he survives the fall, hajime is faced with menacing monsters and misfortunes that send him spiraling into a grim nightmare. desperate to live and return home one day, he resolves to fight for his survival only to meet an imprisoned vampire he names yue, who is also seeking to escape the labyrinth. taking an interest in him, yue and a few others along the way accompany hajime on his journey to find a way back home, while steadily transforming from commonplace to the world's strongest.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
